,Cabin,People
87,C-46,"Cavendish, Mr Tyrell William Cavendish, Mrs Tyrell William (Julia Florence Siegel) Barber, Miss Ellen ""Nellie"" [maid to Mrs Cavendish]"
88,C-47,"Maréchal, Mr Pierre"
89,C-49,"Isham, Miss Ann Elizabeth"
90,C-50,"Potter, Mrs Thomas, Jr. (Lily Alexenia Wilson)"
91,C-51,"Gracie, Colonel Archibald IV"
92,C-52,"Woolner, Mr Hugh"
93,C-53,"Tucker, Mr Gilbert Milligan, Jr."
94,C-54,"Earnshaw, Mrs Boulton (Olive Potter) Hays, Miss Margaret Bechstein"
95,C-55-57,"Straus, Mr Isidor Straus, Mrs Isidor (Ida Blun)"
96,C-62-64 (?),"Astor, Colonel John Jacob Astor, Mrs John Jacob (Madeleine Talmadge Force)"
97,C-65,"Peñasco y Castellana, Mr Victor de Satode Peñasco y Castellana, Mrs Victor de Satode "
98,C-68,"Thayer, Mr John Borland Thayer, Mrs John Borland (Marian Longstreth Morris)"
99,C-70,"Thayer, Mr John Borland, jr."
100,C-78,"Minahan, Dr William Edward Minahan, Mrs William Edward (Lillian E. Thorpe) Minahan, Miss Daisy E."
101,C-80,"Widener, Mr George Dunton Widener, Mrs George Dunton (Eleanor Elkins)"
102,C-82,"Widener, Mr Harry Elkins"
103,C-83,"Harris, Mr Henry Birkhardt Harris, Mrs Henry Birkhardt (Irene Wallach)"
104,C-85,"Cumings, Mr John Bradley Cumings, Mrs John Bradley (Florence Briggs Thayer)"
105,C-86,"Douglas, Mr Walter Donald Douglas, Mrs Walter Donald (Mahala Dutton) LeRoy, Miss Bertha (""Berthe _"") [maid to Mrs Douglas]"
106,C-87 (?),"Stead, Mr William Thomas"
107,C-89,"Clark, Mr Walter Miller Clark, Mrs Walter Miller (Virginia McDowell)"
108,C-90,"de Villiers, Madame Berthe (Berthe Antonine Mayne)"
109,C-91,"Graham, Mrs William Thompson (Edith Junkins) Graham, Miss Margaret Edith"
110,C-92,"Goldenberg, Mr Samuel L. Goldenberg, Mrs "
111,C-93,"Hoyt, Mr Frederick Maxfield Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)"
112,C-95 (?),"Rothschild, Mr Martin Rothschild, Mrs Martin (Elizabeth L. Barrett)"
113,C-97,"Bird, Miss Ellen [maid to Mrs Straus] Farthing, Mr John [manservant to Mr Straus]"
114,C-99,"Bissetti, Miss Amelia [maid to Mrs White]"
115,C-101,"Brown, Mrs John Murray (Caroline Lane Lamson)"
116,"Appleton, Mrs Edward Dale (Charlotte Lamson)",Cave List
117,"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)",Cave List
118,C-103,"Bonnell, Miss Elizabeth (Lily)"
119,C-104,"Peuchen, Major Arthur Godfrey"
120,C-106,"Saalfeld, Mr Adolphe"
121,C-108,"Maguire, Mr John Edward"
122,C-109,"Oliva y Ocana, Doña Fermina [maid to Mrs Penasco]"
123,C-110,"Porter, Mr Walter Chamberlain Clifford, Mr George Quincy"
124,C-111,"Foreman, Mr Benjamin Laventall"
125,C-114 (?),"Fleming, Miss Margaret [maid to Mrs Thayer]"
126,C-112 (?),"Bidois, Miss Rosalie [maid to Mrs Astor] Robbins, Mr Victor [manservant to Colonel Astor]"
127,C-116,"Stengel, Mr Charles Emil Henry Stengel, Mrs Charles Emil Henry (Annie May Morris)"
128,C-118,"Natsch, Mr Charles H."
129,C-120,"Ringhini, Mr Sante [manservant to Mrs White]"
130,C-122 (?),"Robbins, Mr Victor [manservant to Colonel Astor]"
131,C-121 or 123 (?),"Futrelle, Mr Jacques Heath Futrelle, Mrs Jacques (Lily May Peel)"
132,C-124,"Klaber, Mr Herman"
133,C-125,"Shutes, Miss Elizabeth W. [governess to Miss Graham]"
134, , 
135,C-126,"Taylor, Mr Elmer Zebley"
136, ,"Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)"
137,C-128,"Williams, Mr Fletcher Lambert"
138,C-132,"Craig, Mr. Norman C. [Did not board]"
139,C-138 or 140 (?),"LeRoy, Miss Bertha (""Berthe _"") [maid to Mrs Douglas] Serreplan, Miss Auguste [maid to Mrs Carter]"
140,C-142,"Partner, Mr Austin"
141,C-148,"Behr, Mr Karl Howell"
142,D Deck, 
143,D-6,"Long, Mr Milton Clyde"
144,D-7,"Andrews, Miss Kornelia Theodosia"
145,D-9,"Longley, Miss Gretchen Fiske"
146,D-10,"Greenfield, Mr William Bertram"
147,D-11,"Hogeboom, Mrs John C. (Anna Andrews)"
148,D-12,"Greenfield, Mrs Leo David (Blanche Strouse)"
149,D-15,"Bazzani, Miss Albina [maid to Mrs Bucknell]"
150, ,"Bucknell, Mrs William Robert (Emma Eliza Ward)"
151,D-17,"Leader, Dr Alice Farnham"
152,"Swift, Mrs Frederick Joel (Margaret Welles Barron)",Cave List
153,D-19,"Kimball, Mr Edwin Nelson Jr. Kimball, Mrs Edwin Nelson Jr. (Gertrude Parsons)"
154,D-20,"Eustis, Miss Elizabeth Mussey Stephenson, Mrs Walter Bertram (Martha Eustis)"
