iter	Logloss
0	0.6900997762
1	0.6875932133
2	0.6843886426
3	0.6812910226
4	0.6782516049
5	0.6752095172
6	0.6731862342
7	0.6706586672
8	0.6681950915
9	0.6668438821
10	0.6644697473
11	0.6620546516
12	0.6591398214
13	0.656553045
14	0.6539971304
15	0.6517628334
16	0.6490941281
17	0.646509403
18	0.6438397683
19	0.6420803765
20	0.6396839764
21	0.6369339419
22	0.6345743365
23	0.632969905
24	0.6309541435
25	0.6287868675
26	0.6267293406
27	0.6241864184
28	0.6216236608
29	0.6194631776
30	0.6172083287
31	0.6151953745
32	0.6130350907
33	0.610718292
34	0.6088889651
35	0.6063110425
36	0.604450034
37	0.6029098314
38	0.6007078372
39	0.5990062827
40	0.5967659198
41	0.5944283691
42	0.5927150876
43	0.5910757636
44	0.5897282834
45	0.5883701003
46	0.5863141871
47	0.5842925881
48	0.5828947214
49	0.58138768
50	0.5794035965
51	0.5778231936
52	0.5758445447
53	0.5743940029
54	0.5728269293
55	0.5715271286
56	0.5699620509
57	0.5681706411
58	0.566410802
59	0.5643696094
60	0.5622871665
61	0.5613902715
62	0.5598436656
63	0.5577111866
64	0.5559253317
65	0.5541912661
66	0.5525790438
67	0.5513629192
68	0.5496160066
69	0.5480593899
70	0.5462761531
71	0.5450018879
72	0.543370519
73	0.5421476615
74	0.5404290454
75	0.5387555794
76	0.5370240303
77	0.5359441908
78	0.5345422044
79	0.5332341074
80	0.5315768694
81	0.5303817916
82	0.5288334904
83	0.5277416075
84	0.5263004749
85	0.5250113234
86	0.5235652982
87	0.5220370947
88	0.5206272211
89	0.5192256482
90	0.5180475333
91	0.5168101674
92	0.5153147629
93	0.5140732964
94	0.5126955495
95	0.5117925474
96	0.5102261482
97	0.509016811
98	0.5073193683
99	0.5061898283
100	0.504643078
101	0.5033006852
102	0.5024164439
103	0.5012451159
104	0.5000874275
105	0.498904519
106	0.4981753043
107	0.4967950636
108	0.4958409434
109	0.4946598463
110	0.4935024104
111	0.492236189
112	0.4909477194
113	0.4898499647
114	0.4884410864
115	0.4875623489
116	0.4864613287
117	0.4854271395
118	0.4841566098
119	0.4829790287
120	0.4819242341
121	0.4809865472
122	0.4802257775
123	0.4790965023
124	0.4780772264
125	0.4771990819
126	0.476238155
127	0.4754442574
128	0.4740159998
129	0.4730246004
130	0.4725422682
131	0.4715030301
132	0.470612247
133	0.4698241923
134	0.4686226014
135	0.4677464662
136	0.4665211214
137	0.465727759
138	0.4645653796
139	0.4634564834
140	0.462471929
141	0.4610850531
142	0.4600004996
143	0.4593444107
144	0.4585691593
145	0.4578397061
146	0.4569349783
147	0.4558662827
148	0.4555807705
149	0.4547188037
150	0.4536902548
151	0.4528032958
152	0.4522622912
153	0.4514740525
154	0.4502549404
155	0.4493646072
156	0.4486285305
157	0.4480356531
158	0.4470979516
159	0.4465258698
160	0.4462258307
161	0.445610873
162	0.4446642611
163	0.4438272041
164	0.4430335785
165	0.4419644939
166	0.4411615983
167	0.4405440789
168	0.4398375588
169	0.4395382118
170	0.438840729
171	0.4382436735
172	0.4376775535
173	0.436783645
174	0.4363656668
175	0.4355108841
176	0.4345631163
177	0.433563062
178	0.4326198326
179	0.4318467712
180	0.4311483609
181	0.4305973519
182	0.4299129338
183	0.4293796729
184	0.428569137
185	0.4277117106
186	0.4269043667
187	0.4262581222
188	0.4255011109
189	0.4247791143
190	0.4242938424
191	0.423897488
192	0.4235538677
193	0.4230290858
194	0.4224682822
195	0.4219137327
196	0.4211475876
197	0.4204330315
198	0.419750274
199	0.419259356
200	0.4185429513
201	0.4179267219
202	0.4170281211
203	0.4161838748
204	0.4156699109
205	0.4149657515
206	0.414459677
207	0.4138631522
208	0.4135169868
209	0.4126262548
