iter	Logloss
0	0.6869283143
1	0.6826648599
2	0.6792888201
3	0.6733377926
4	0.6678742036
5	0.6623105563
6	0.6568746044
7	0.6515932945
8	0.6475477757
9	0.6422740683
10	0.6373878124
11	0.6342446155
12	0.6289852533
13	0.6263450295
14	0.6217199988
15	0.6185162116
16	0.6144470039
17	0.6098861951
18	0.6054583575
19	0.6023451012
20	0.5978369282
21	0.5936883164
22	0.5896242396
23	0.5858171629
24	0.5817362563
25	0.5777495767
26	0.5738150074
27	0.5703229204
28	0.5671897247
29	0.5648641632
30	0.5629851692
31	0.5595303312
32	0.5566892605
33	0.5539320922
34	0.551202792
35	0.5487666648
36	0.5458665633
37	0.5427051899
38	0.5394287986
39	0.5366897417
40	0.5336929346
41	0.5311584549
42	0.5286709296
43	0.526655908
44	0.5241435587
45	0.5211972134
46	0.5181436969
47	0.5162131553
48	0.5136548972
49	0.51132045
50	0.5101214294
51	0.5080943607
52	0.5053568959
53	0.5039151303
54	0.50270257
55	0.5004920947
56	0.4982053368
57	0.4961419381
58	0.4937648553
59	0.4916244795
60	0.4893159133
61	0.487321118
62	0.4856048148
63	0.4836388192
64	0.4817779741
65	0.4800628211
66	0.478237795
67	0.4764947973
68	0.4748936277
69	0.4728809901
70	0.4709771191
71	0.4694064841
72	0.4684088025
73	0.4668775568
74	0.4654074773
75	0.4638766594
76	0.4625876208
77	0.461075682
78	0.4598410405
79	0.4584883908
80	0.4570115553
81	0.455432436
82	0.4539749643
83	0.4534284325
84	0.4520268418
85	0.4508600964
86	0.4499828775
87	0.4491242466
88	0.4483442933
89	0.4473550007
90	0.4463372607
91	0.4451061953
92	0.4436253374
93	0.4426938444
94	0.4413806062
95	0.4405465632
96	0.4393333543
97	0.4388369878
98	0.4377674455
99	0.4367881101
100	0.4361312175
101	0.4353351813
102	0.4342865578
103	0.4330099363
104	0.4320997706
105	0.4314697492
106	0.4307496201
107	0.4300100987
108	0.4289927991
109	0.427901715
110	0.4270022793
111	0.426094469
112	0.4253583325
113	0.4249689467
114	0.4239116096
115	0.4229627385
116	0.422302323
117	0.4215411609
118	0.4206783808
119	0.4199191744
120	0.4191178936
121	0.4184767348
122	0.4175987463
123	0.416853878
124	0.4161330338
125	0.415263553
126	0.4143067018
127	0.4134589286
128	0.4127393993
129	0.411875812
130	0.4110784619
131	0.410452374
132	0.4096339405
133	0.4092889411
134	0.4085914845
135	0.4080925278
136	0.4076733203
137	0.4072315735
138	0.4064401797
139	0.4058794532
140	0.4051426934
141	0.4044404592
142	0.4038601258
143	0.4032487938
144	0.4026153633
145	0.4020268748
146	0.4013983879
